URS000000076D_6239	15	37	53	74
URS0000001251_7222	8	30
URS0000001251_7230	8	30
URS0000001251_7244	8	30	47	68
URS000000187C_31234	59	78
URS0000001A7A_9606	14	34	51	72
URS0000001D3B_7237	67	90
URS0000001EB3_9544	8	28	44	65
URS0000001EB3_9545	8	28
URS0000001EB3_9593	8	28
URS0000001EB3_9597	8	28
URS0000001EB3_9598	8	28
URS0000001EB3_9600	8	28
URS0000001EB3_9606	7	27	43	64
URS00000020DF_7260	55	76
URS0000002489_7217	6	27	40	63
URS0000002489_7222	6	27	40	63
URS0000002489_7230	6	27	40	63
URS0000002489_7234	6	27	40	63
URS0000002489_7237	6	27	40	63
URS0000002489_7244	6	27	40	63
URS0000002AFF_7220	4	26	42	63
URS000000361E_7245	14	34
URS0000003A27_7222	64	86
URS00000041CB_3983	61	81
URS00000050BF_4530	71	91
URS0000006827_3702	17	37	69	89
URS0000006BD4_7230	14	35	60	82
URS0000007095_9606	14	34	53	74
URS000000716D_7245	58	78
URS0000007340_9509	56	77
URS0000007340_9519	56	77
URS0000007340_9598	56	77
URS0000007340_9600	56	77
URS0000007340_9606	22	43	56	77
URS0000007340_78454	56	77
URS0000007652_7227	17	38
URS0000008A99_9519	60	81
URS0000008A99_9593	60	81
URS0000008A99_9600	60	81
URS0000008A99_9606	26	47	60	80
URS0000008D1A_31234	64	83
URS0000009BF7_6239	66	87
URS0000009FDD_6239	0	22	41	63
URS000000AB74_7217	57	78
URS000000B79D_9600	13	34
URS000000B7EF_9544	14	35	54	73
URS000000B7EF_9545	14	35
URS000000C8D7_7244	16	34	55	76
URS000000CF87_7222	69	91	69	91
URS000000D124_4530	68	88
URS000000F9B5_7227	7	28	42	63
URS000000F9B5_7238	42	63
URS000000FA46_9519	22	44
URS000001098C_6239	0	21	36	58
URS0000013967_9823	17	38	55	75
URS0000013967_9925	17	39	55	75
URS0000013967_10029	17	38	55	76
URS0000013967_10116	17	38	55	76
URS0000014447_7240	12	39
URS0000014D2D_7227	54	75
URS0000014EB3_6239	0	21	33	54
